Comments,sentiment
দাম হিসেবে পন্যের কোয়ালিটি মোটামুটি ভালো,Positive
দুর্দান্ত একটি প্রোডাক্ট। পেয়েছি সব ঠিক ঠাক।,Positive
"দাম অনুযায়ী মোটামুটি ঠিক আছে,",Positive
সব গুলা সুন্দর কাজ করে। যারা কিনতে চান কিনতে পারেন,Positive
সেলার আপনাকে হতাশ করবেন না।,Positive
সেলার ভাইকে অসংখ্য ধন্যবাদ সঠিক সময় জিনিসটি পাঠানোর জন্য আর ডেলিভারি ম্যান এর ব্যবহার অনেক ভালো,Positive
ভালো জিনিস। আপনারা সবাই নিতে পারেন।,Positive
অনেক রকমের স্ক্রু এটা দিয়ে খোলা যায়।,Positive
", প্রোডাক্টটা ভালই কোনো সমস্যা ছিল না,",Positive
খুব একটা শক্ত পোক্ত না তবে এটা দিয়ে বাসার ছোটখাট কাজ করতে পারবেন ভাল ভাবেই।।,Positive
খুব তাড়াতাড়ি হাতে পেয়ে গেলাম।,Positive
সব কিছু ঠিক ঠাক পেয়েছি।,Positive
চার্জিং ইনডিকেটর আছে। ,Negative
প্রোডাক্ট ভালই ছিলো। কিন্তু সেলার ভাই বলেছিল ১৮ নম্বর সকেট আছে কিন্তু আসলে ছিল না।,Positive
প্যাকেজিং ও খুব একটা ভালো ছিল না।,Negative
বক্স ভাঙ্গা এবং চেকা লাগা ছিলো।,Negative
প্রোডাক্টের প্যাকেজিং এর উন্নতি এবং সঠিক ইনফরমেশন দেওয়ার জন্য সেলার ভাইদের অনুরোধ করছি 🙂।,Negative
"প্রডাক্ট কোয়ালিটি খুবই বাজে, ড্রাইভারটি ভাঙ্গা, ডালি টি কাজ করে না, সবমিলে প্রডাক্ট কোয়ালিটি খুবই বাজে, ।",Negative
জিনিস টি খুব ভালো লাগলো আপনাকে অনেক ধন্যবাদ ভাইয়া আমি য়ে রকম চেয়েছিলাম সে রকম পেয়েছি আপনার চাইলে নিতে পারেন এই দামে খুব ভালো জিনিস 👍👍👍👍🤗🤗🤗🤗🤗👌👌👌👌👌,Positive
✔️ সেরা মামা সেরা প্রাইজ রেন্জে🔥,Positive
